id_pais,anio,inmigrantes,emigrantes
NAM,1980,0.0,23.0
NRU,1980,0.0,7.0
NPL,1980,1.0,0.0
NLD,1980,3422.0,625.0
ANT,1980,0.0,24.0
NCL,1980,0.0,0.0
NZL,1980,0.0,217.0
NIC,1980,1.0,133.0
NER,1980,0.0,62.0
NGA,1980,0.0,1085.0
NIU,1980,0.0,0.0
NFK,1980,0.0,0.0
MNP,1980,0.0,0.0
NOR,1980,380.0,370.0
OMN,1980,4.0,5.0
PAK,1980,95.0,0.0
PLW,1980,0.0,0.0
PAN,1980,2.0,551.0
PNG,1980,0.0,8.0
PRY,1980,265190.0,37611.0
PER,1980,8559.0,4861.0
PHL,1980,87.0,44.0
POL,1980,57336.0,58.0
PRT,1980,20676.0,377.0
PRI,1980,0.0,563.0
QAT,1980,3.0,67.0
REU,1980,0.0,9.0
ROU,1980,6906.0,0.0
RUS,1980,18399.0,0.0
RWA,1980,0.0,2.0
SHN,1980,0.0,0.0
SPM,1980,0.0,0.0
WSM,1980,0.0,5.0
SMR,1980,5.0,0.0
STP,1980,0.0,0.0
SAU,1980,535.0,4.0
SEN,1980,0.0,10.0
SRB,1980,0.0,0.0
SCG,1980,9755.0,29.0
SYC,1980,0.0,0.0
SLE,1980,0.0,11.0
SGP,1980,11.0,3.0
SVK,1980,1275.0,2.0
SVN,1980,4193.0,2.0
SLB,1980,0.0,1.0
SOM,1980,0.0,0.0
ZAF,1980,0.0,920.0
ESP,1980,373063.0,35637.0
LKA,1980,5.0,0.0
KNA,1980,0.0,0.0
LCA,1980,0.0,0.0
VCT,1980,0.0,0.0
SDN,1980,0.0,0.0
SUR,1980,0.0,180.0
SWZ,1980,0.0,2.0
SWE,1980,964.0,2204.0
CHE,1980,3017.0,283.0
SYR,1980,9285.0,2.0
TWN,1980,1225.0,0.0
TJK,1980,2.0,0.0
TZA,1980,0.0,2.0
THA,1980,21.0,86.0
TLS,1980,0.0,0.0
TGO,1980,0.0,72.0
TKL,1980,0.0,0.0
TON,1980,0.0,2.0
TTO,1980,2.0,46.0
TUN,1980,0.0,4.0
TUR,1980,1890.0,278.0
TKM,1980,4.0,0.0
TCA,1980,0.0,0.0
TUV,1980,0.0,0.0
UGA,1980,0.0,0.0
UKR,1980,5083.0,0.0
ARE,1980,4.0,25.0
GBR,1980,4559.0,3589.0
USA,1980,9922.0,77600.0
URY,1980,114876.0,16613.0
UZB,1980,32.0,0.0
VUT,1980,0.0,4.0
VEN,1980,15.0,10340.0
VNM,1980,22.0,0.0
VIR,1980,0.0,0.0
VGB,1980,0.0,0.0
WLF,1980,0.0,0.0
PSE,1980,166.0,86.0
YEM,1980,9.0,47.0
ZMB,1980,0.0,333.0
ZWE,1980,0.0,65.0
AFG,1990,21.0,0.0
ALB,1990,147.0,0.0
DZA,1990,231.0,0.0
ASM,1990,0.0,0.0
AND,1990,1.0,12.0
AGO,1990,45.0,1.0
AIA,1990,0.0,1.0
ATG,1990,0.0,2.0
ARM,1990,90.0,0.0
ABW,1990,1.0,53.0
AUS,1990,629.0,10299.0
AUT,1990,4915.0,364.0
AZE,1990,1.0,0.0
BHS,1990,0.0,8.0
BHR,1990,28.0,27.0
BGD,1990,0.0,0.0
BRB,1990,17.0,13.0
BLR,1990,12.0,0.0
BEL,1990,1151.0,533.0
BLZ,1990,13.0,0.0
BEN,1990,0.0,6.0
BMU,1990,0.0,0.0
BTN,1990,0.0,0.0
BOL,1990,149439.0,17463.0
BIH,1990,91.0,14.0
BWA,1990,0.0,11.0
BRA,1990,35768.0,28161.0
BRN,1990,2.0,0.0
BGR,1990,972.0,10.0
BFA,1990,26.0,0.0
BDI,1990,0.0,0.0
KHM,1990,46.0,0.0
CMR,1990,0.0,2.0
CAN,1990,798.0,9645.0
CPV,1990,51.0,0.0
CYM,1990,0.0,6.0
CAF,1990,0.0,1.0
TCD,1990,0.0,2.0
CHI,1990,0.0,0.0
CHL,1990,226327.0,32548.0
CHN,1990,2502.0,123.0
COL,1990,3026.0,2142.0
COM,1990,0.0,0.0
COD,1990,60.0,19.0
COG,1990,33.0,0.0
COK,1990,1.0,0.0
CRI,1990,462.0,656.0
CIV,1990,1.0,39.0
HRV,1990,4838.0,170.0
CUB,1990,1431.0,132.0
CYP,1990,103.0,64.0
CZE,1990,3665.0,28.0
DNK,1990,539.0,903.0
DJI,1990,0.0,0.0
DMA,1990,9.0,0.0
DOM,1990,273.0,2291.0
ECU,1990,1016.0,1661.0
EGY,1990,551.0,103.0
SLV,1990,183.0,146.0
GNQ,1990,0.0,0.0
ERI,1990,27.0,0.0
EST,1990,122.0,0.0
ETH,1990,44.0,0.0
FRO,1990,0.0,7.0
FLK,1990,0.0,29.0
FJI,1990,2.0,0.0
FIN,1990,156.0,117.0
FRA,1990,7159.0,9508.0
GUF,1990,0.0,45.0
PYF,1990,0.0,14.0
GAB,1990,0.0,2.0
GMB,1990,0.0,0.0
GEO,1990,2.0,0.0
DEU,1990,17313.0,3561.0
GHA,1990,0.0,0.0
GIB,1990,32.0,0.0
GRC,1990,3195.0,516.0
GRL,1990,36.0,1.0
GRD,1990,25.0,3.0
GLP,1990,0.0,7.0
GUM,1990,3.0,4.0
GTM,1990,116.0,275.0
GIN,1990,1.0,4.0
GNB,1990,0.0,0.0
GUY,1990,3.0,17.0
HTI,1990,76.0,6.0
HND,1990,141.0,86.0
HKG,1990,10.0,5.0
HUN,1990,3297.0,181.0
ISL,1990,18.0,5.0
IND,1990,220.0,17.0
IDN,1990,47.0,19.0
IRN,1990,303.0,0.0
IRQ,1990,81.0,6.0
IRL,1990,143.0,77.0
IMN,1990,0.0,0.0
ISR,1990,1482.0,16177.0
ITA,1990,363907.0,34358.0
JAM,1990,27.0,0.0
JPN,1990,6030.0,2666.0
JOR,1990,163.0,1.0
KAZ,1990,21.0,0.0
KEN,1990,6.0,13.0
KIR,1990,0.0,0.0
PRK,1990,201.0,22.0
KOR,1990,10077.0,5.0
XKX,1990,0.0,0.0
KWT,1990,0.0,39.0
KGZ,1990,0.0,0.0
LAO,1990,538.0,0.0
LVA,1990,304.0,0.0
LBN,1990,3651.0,32.0
LSO,1990,0.0,47.0
LBR,1990,0.0,0.0
LBY,1990,114.0,3.0
LIE,1990,169.0,5.0
LTU,1990,2399.0,0.0
LUX,1990,212.0,151.0
MAC,1990,0.0,0.0
MKD,1990,652.0,139.0
MDG,1990,15.0,4.0
MWI,1990,0.0,5.0
MYS,1990,6.0,17.0
MDV,1990,0.0,0.0
MLI,1990,0.0,0.0
MLT,1990,4.0,0.0
MHL,1990,2.0,0.0
MTQ,1990,3.0,7.0
MRT,1990,0.0,65.0
MUS,1990,0.0,2.0
MYT,1990,0.0,0.0
MEX,1990,2332.0,4417.0
FSM,1990,3.0,0.0
MDA,1990,10.0,0.0
MCO,1990,22.0,44.0
MNG,1990,0.0,0.0
MNE,1990,0.0,0.0
MSR,1990,0.0,2.0
MAR,1990,479.0,0.0
MOZ,1990,30.0,59.0
MMR,1990,19.0,6.0
NAM,1990,4.0,37.0
NRU,1990,6.0,5.0
NPL,1990,0.0,0.0
NLD,1990,948.0,1800.0
ANT,1990,0.0,102.0
NCL,1990,0.0,6.0
NZL,1990,24.0,231.0
NIC,1990,147.0,142.0
NER,1990,1.0,44.0
NGA,1990,94.0,368.0
NIU,1990,3.0,0.0
NFK,1990,0.0,0.0
MNP,1990,4.0,0.0
NOR,1990,129.0,453.0
