,pais,sede,red_social,url
150,Russian Federation,EFRUS,twitter,https://twitter.com/embargrusia
151,SANTA SEDE,ESSED,facebook,https://www.facebook.com/argensantasede
152,SANTA SEDE,ESSED,instagram,https://www.instagram.com/argensantasede/
153,SANTA SEDE,ESSED,twitter,https://twitter.com/argsantasede
154,SANTA SEDE,ESSED,youtube,https://www.youtube.com/c/embajadaargentinaantelasantasede
155,Saudi Arabia,EARAB,facebook,https://www.facebook.com/argentinaenarabiasaudita/
156,Saudi Arabia,EARAB,instagram,https://www.instagram.com/arginsaudi/
157,Saudi Arabia,EARAB,twitter,https://twitter.com/ensaudita
158,Serbia,ESERB,facebook,facebook.com/argentinaenserbia
159,Serbia,ESERB,instagram,instagram.com/arginserbia
160,Singapore,ESING,instagram,https://instagram.com/argentine_embassy_singapore?igshid=ymmymta2m2y=
161,Singapore,ESING,twitter,https://twitter.com/arginsingapore
162,South Africa,ESAFR,facebook,facebook.com/argensudafrica
163,South Africa,ESAFR,instagram,https://www.instagram.com/argentinaensudafrica
164,South Africa,ESAFR,twitter,https://twitter.com/embargentina
165,Spain,CBARC,facebook,facebook.com/argenbarcelona
166,Spain,CBARC,instagram,instagram.com/argenbarcelona
167,Spain,CBARC,linkedin,linkedin.com/company/consulado-y-centro-de-promoci%c3%b3n-de-la-republica-argentina-en-barcelona/mycompany/
168,Spain,CBARC,twitter,twitter.com/argenbarcelona
169,Spain,CCADI,facebook,www.facebook.com/argentinaencadiz
170,Spain,CMADR,facebook,https://www.facebook.com/argentinaenmadridesp/
171,Spain,CMALL,facebook,https://www.facebook.com/argentinaenpalmademallorca
172,Spain,CTENE,facebook,www.facebook.com/argentinaentenerife
173,Spain,CVIGO,facebook,facebook.com/argentinaenvigo
174,Spain,CVIGO,instagram,https://www.instagram.com/argenvigo/
175,Spain,EESPA,facebook,https://www.facebook.com/argenespa/
176,Spain,EESPA,instagram,https://www.instagram.com/argenespa/
177,Spain,EESPA,twitter,https://twitter.com/argenesp
178,Sweden,ESUEC,facebook,https://www.facebook.com/arginsweden/
179,Sweden,ESUEC,instagram,https://www.instagram.com/arginsweden/
180,Sweden,ESUEC,linkedin,https://se.linkedin.com/showcase/arginsweden
181,Switzerland,EOIRS,facebook,https://www.facebook.com/argentinaenginebra
182,Switzerland,EOIRS,instagram,www.instagram.com/misionargentinaonu
183,Switzerland,EOIRS,twitter,https://twitter.com/argentinaonuomc
184,Switzerland,EOIRS,youtube,https://www.youtube.com/channel/ucsoschik8j7nfjznpq6k7ag
185,Syrian Arab Republic,EASIR,facebook,https://www.facebook.com/embajada-argentina-en-siria-112176794025495
186,Thailand,ETAIL,facebook,https://www.facebook.com/argentailandiabangkok/?tn-str=k*f
187,Trinidad and Tobago,ETRIN,facebook,www.facebook.com/argentinaentrinidadytobago
188,Tunisia,ETUNE,facebook,https://www.facebook.com/argentunez/
189,Tunisia,ETUNE,instagram,https://www.instagram.com/embargentinatn
190,Tunisia,ETUNE,twitter,https://www.twitter.com/embajadatunez
191,Tunisia,ETUNE,youtube,https://www.youtube.com/channel/uc8kszug1sphrp3r1hgzhjtg
192,Ukraine,EUCRA,facebook,https://www.facebook.com/argentinaenucrania
193,Ukraine,EUCRA,instagram,https://www.instagram.com/argenucrania/
194,United Arab Emirates,EEARB,facebook,https://www.facebook.com/argentinaenemiratosarabesunidos
195,United Kingdom,CLOND,instagram,https://www.instagram.com/consuladoargentinoenlondres/
196,United Kingdom,ERUNI,facebook,https://www.facebook.com/arginuk/
197,United Kingdom,ERUNI,flickr,https://www.flickr.com/photos/138300767@n07/albums
198,United Kingdom,ERUNI,instagram,https://www.instagram.com/arginuk/
199,United Kingdom,ERUNI,twitter,https://twitter.com/arginuk
200,United Kingdom,ERUNI,youtube,https://www.youtube.com/channel/uczagu10f-77sr56kini9-1g/videos?view_as=subscriber
201,United States,CCHIC,facebook,https://www.facebook.com/argentinaenchicago
202,United States,CCHIC,twitter,https://twitter.com/argenchicago
203,United States,CCHIC,youtube,https://www.youtube.com/channel/ucjz3a6ztr156ap_zg-1lqfq/featured
204,United States,CHOUS,facebook,https://www.facebook.com/argentinaenhouston/
205,United States,CLANG,facebook,https://www.facebook.com/argentinaenlosangeles/?ref=aymt_homepage_panel
206,United States,CMIAM,facebook,https://es-la.facebook.com/consuladoargentino.miami/
207,United States,CNYOR,facebook,https://www.facebook.com/argennewyork
208,United States,CNYOR,instagram,https://www.instagram.com/argennewyork/
209,United States,CNYOR,twitter,https://twitter.com/argennewyork
210,United States,CNYOR,youtube,https://www.youtube.com/channel/ucjfygvt8lgeo1prqqshqmkg
211,United States,EEEUU,facebook,https://www.facebook.com/arginusa/
212,United States,EEEUU,flickr,https://www.flickr.com/photos/arginusa/
213,United States,EEEUU,instagram,https://www.instagram.com/arginusa/
214,United States,EEEUU,linkedin,www.linkedin.com/in/arginusa
215,United States,EEEUU,twitter,https://twitter.com/arginusa
216,United States,EEEUU,youtube,https://www.youtube.com/arginusa
217,United States,EEOEA,facebook,www.facebook.com/argenoea/
218,United States,EEOEA,instagram,www.instagram.com/argenoea/
219,United States,EEOEA,twitter,www.twitter.com/argenoea
220,United States,EEOEA,youtube,www.youtube.com/channel/ucqjmca0ufl3_i3ovqz5zaag/featured
221,Uruguay,CCOLO,facebook,https://www.facebook.com/argentinaencolonia
222,Uruguay,CMALD,facebook,https://www.facebook.com/pg/consuladoargentinoenmaldonado/posts/?ref=page_internal
223,Uruguay,CMALD,instagram,https://www.instagram.com/consulado_argentino/
224,Uruguay,CMDEO,facebook,https://www.facebook.com/argentinaenmontevideo/
225,Uruguay,EURUG,facebook,https://www.facebook.com/argentinaenuru/
226,Uruguay,EURUG,instagram,https://www.instagram.com/argentinaenuru/
227,Uruguay,EURUG,twitter,https://twitter.com/argentinaenuru
228,"Venezuela, RB",EVENE,facebook,https://www.facebook.com/embajadaargentinaenvenezuela
229,"Venezuela, RB",EVENE,instagram,https://www.instagram.com/argenvenezuela/
230,"Venezuela, RB",EVENE,twitter,https://twitter.com/argenvenezuela?lang=es
231,Vietnam,EVIET,facebook,https://www.facebook.com/argentinaenvietnam/
232,Vietnam,EVIET,instagram,https://www.instagram.com/argenvietnam/
233,West Bank and Gaza,REPAL,facebook,https://www.facebook.com/argenpalestina
