,País,Sede,Red Social,URL
180,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Facebook,https://www.facebook.com/ArgentinaenSalvador
181,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Instagram,https://www.instagram.com/argentinaensalvador
182,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Twitter,https://twitter.com/ArgentinaEnSSA
183,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CURUG,Facebook,https://www.facebook.com/ArgEnUruguayana/
184,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CURUG,Twitter,https://twitter.com/CURUGoK
185,REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Facebook,https://www.facebook.com/embargbrasil
186,REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Instagram,https://www.instagram.com/embaargenbrasil
187,REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Twitter,https://twitter.com/ArgentinaEnBras
188,REPÚBLICA  FRANCESA,EFRAN,Facebook,https://www.facebook.com/ArgentinaEnFrancia/
189,REPÚBLICA  FRANCESA,EUNES,Facebook,https://www.facebook.com/delegation.argentine/
190,REPÚBLICA  FRANCESA,EUNES,Twitter,https://twitter.com/ArgentinaUNESCO
191,REPÚBLICA  HELÉNICA,EGREC,Facebook,https://www.facebook.com/ArgentinaEnGrecia
192,REPÚBLICA  HELÉNICA,EGREC,Youtube,https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured
193,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,EPAKI,Twitter,https://twitter.com/EmbajadadeArge1
194,REPÚBLICA  ITALIANA,CMILA,Facebook,https://www.facebook.com/ConsuladoArgentinoenMilan
195,REPÚBLICA  ITALIANA,CMILA,Instagram,https://www.instagram.com/consuladoargentinoenmilan/
196,REPÚBLICA  ITALIANA,CMILA,Youtube,https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ
197,REPÚBLICA  ITALIANA,EITAL,Facebook,https://es-la.facebook.com/emb.roma/
198,REPÚBLICA  ITALIANA,EITAL,Instagram,https://www.instagram.com/arginitalia/?hl=es
199,REPÚBLICA  ITALIANA,EITAL,Twitter,https://twitter.com/arginitalia?lang=es
200,REPÚBLICA  LIBANESA,ELBNO,Facebook,https://www.facebook.com/ArgentinaEnLibano
201,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CCOLO,Facebook,https://www.facebook.com/ArgentinaenColonia
202,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMALD,Facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
203,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMALD,Instagram,https://www.instagram.com/consulado_argentino/
204,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CMDEO,Facebook,https://www.facebook.com/ArgentinaEnMontevideo/
205,REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Facebook,https://www.facebook.com/ArgentinaEnUru/
206,REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Instagram,https://www.instagram.com/argentinaenuru/
207,REPÚBLICA  ORIENTAL  DEL  URUGUAY,EURUG,Twitter,https://twitter.com/ArgentinaEnUru
208,REPÚBLICA  SOCIALISTA  DE  VIETNAM,EVIET,Facebook,https://www.facebook.com/ArgentinaEnVietnam/
209,REPÚBLICA  SOCIALISTA  DE  VIETNAM,EVIET,Instagram,https://www.instagram.com/argenvietnam/
210,REPÚBLICA  TUNECINA,ETUNE,Facebook,https://www.facebook.com/ArgEnTunez/
211,REPÚBLICA  TUNECINA,ETUNE,Instagram,https://www.instagram.com/embargentinatn
212,REPÚBLICA  TUNECINA,ETUNE,Twitter,https://www.twitter.com/EmbajadaTunez
213,REPÚBLICA  TUNECINA,ETUNE,Youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
214,REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Facebook,facebook.com/ArgentinaenEgipto
215,REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Instagram,instagram.com/argenegipto/
216,REPÚBLICA  ÁRABE  DE  EGIPTO,EEGIP,Twitter,twitter.com/ARGenEgipto
217,REPÚBLICA  ÁRABE  SIRIA,EASIR,Facebook,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495
218,RUMANIA,ERUMA,Facebook,https://www.facebook.com/ArgentinaEnRumania
219,RUMANIA,ERUMA,Instagram,https://www.instagram.com/argentinaenrumania
220,Reino  de  Bélgica,EBELG,Facebook,https://www.facebook.com/ArgentinaEnBelgica/
221,Reino  de  Bélgica,EBELG,Instagram,https://www.instagram.com/argenbelgica/
222,Reino  de  Bélgica,ECEUR,Facebook,https://www.facebook.com/ARGanteUE
223,Reino  de  Bélgica,ECEUR,Flickr,https://www.flickr.com/people/197084220@N02/
224,Reino  de  Bélgica,ECEUR,Linkedin,https://www.linkedin.com/company/arganteue
225,Reino  de  Bélgica,ECEUR,Twitter,https://twitter.com/ARGanteUE
226,Reino  de  Bélgica,ECEUR,Youtube,https://www.youtube.com/@ARGanteUE
227,SANTA  SEDE,ESSED,Facebook,https://www.facebook.com/ArgEnSantaSede
228,SANTA  SEDE,ESSED,Instagram,https://www.instagram.com/argensantasede/
229,SANTA  SEDE,ESSED,Twitter,https://twitter.com/ArgSantaSede
230,SANTA  SEDE,ESSED,Youtube,https://www.youtube.com/c/EmbajadaArgentinaantelaSantaSede
231,UCRANIA,EUCRA,Facebook,https://www.facebook.com/ArgentinaEnUcrania
232,UCRANIA,EUCRA,Instagram,https://www.instagram.com/argenucrania/
233,日本国  (JAPÓN),EJAPO,Facebook,https://www.facebook.com/ArgJapon/?ref=bookmarks
